Public ref. number,States (EN),Elect. group (EN),Region. group (EN),Year of inscription,Decision No.,Type of candidature,National or Multinational,Title (EN),Short description (EN)
155,Albania,Group II,Europe and North America,2008,3.COM 1,Representative List,National,Albanian folk iso-polyphony,
121,Algeria,Group V(b),Africa; Arab States,2008,3.COM 1,Representative List,Multinational,Ahellil of Gourara,
668,Algeria,Group V(b),Africa; Arab States,2012,7.COM 11.1,Representative List,Multinational,Rites and craftsmanship associated with the wedding costume tradition of Tlemcen,"During the wedding ritual of Tlemcen in northwestern Algeria, the bride is dressed in a traditionally woven golden silk dress, surrounded by her friends and married female relations; symbolic henna designs are applied to her hands, and an older woman helps her don a caftan of embroidered velvet, jewellery and a conical hat. Girls in Tlemcen are initiated into the costume tradition at an early age, while the craftsmanship involved in making the precious wedding costume is transmitted from generation to generation."
660,Algeria,Group V(b),Africa; Arab States,2013,8.COM 8.1,Representative List,Multinational,Annual pilgrimage to the mausoleum of Sidi 'Abd el-Qader Ben Mohammed (Sidi Cheikh),"Every year at the end of June, Sufi communities undertake a three-day pilgrimage to the mausoleum of Sidi 'Abd el-Qader Ben Mohammed (Sidi Cheikh) in El Abiodh Sidi Cheikh. The pilgrimage renews peaceful ties among the Sufi brotherhood and contributes to the growth of Sufism. It also promotes community values such as hospitality and collective practices such as praises, Koran recitations, secular chants and dances. Festivities � including fencing, equestrian competitions and dances � complement the prayers and rituals at the heart of the pilgrimage."
665,Algeria,Group V(b),Africa; Arab States,2014,9.COM 10.1,Representative List,Multinational,"Ritual and ceremonies of Sebe�ba in the oasis of Djanet, Algeria","The ritual and ceremonies of Sebe�ba are practised by two communities living in Djanet in the first month of the Islamic lunar calendar. Male dancers and female singers compete to represent their communities during a nine-day contest. Once selected, the male dancers stand in a ritual circle rattling their swords as the women sing traditional songs to the rhythm of the tambourine. The ritual symbolically wards off potential violence between communities by transposing it to the realm of artistic competition."
667,Algeria,Group V(b),Africa; Arab States,2015,10.COM 10.b.2,Representative List,Multinational,"Sbu�, annual pilgrimage to the zawiya of Sidi El Hadj Belkacem in Gourara","Sbu� is an annual pilgrimage where participants from Zenata communities in the Sahara visit the mausoleums of saints to commemorate the birth of the Prophet Mohammed. On the seventh day, pilgrims arrive at the mausoleum of Sidi El Hadj Belkacem surrounding a bearer who carries a standard of a saint. Sbu� is considered by the communities, given the body of beliefs and rites enacted during the pilgrimage, to be an expression of their history and the links that bind them."
1274,Algeria,Group V(b),Africa; Arab States,2018,13.COM 10.a.1,Urgent Safeguarding List,Multinational,Knowledge and skills of the water measurers of the foggaras or water bailiffs of Touat and Tidikelt,"The element concerns the knowledge and skills of the water measurers of the foggaras, or water bailiffs, of the ksour communities of Touat and Tidikelt. As key figures in the community, water measurers are involved in various operations, from calculating water shares to repairing distribution combs and directing the flow of water into channels. Several factors have disrupted the proper functioning of the foggara, however, including a lack of communication between youth and elders, governmental changes to relations of ownership, and the effects of urbanization and modernization."
1602,Algeria; Mauritania; Morocco; Tunisia,Group V(b),Africa; Arab States,2020,15.COM 8.b.14,Representative List,Multinational,"Knowledge, know-how and practices pertaining to the production and consumption of couscous","The knowledge, know-how and practices pertaining to the production and consumption of couscous encompass the methods of production, manufacturing conditions and tools, associated artefacts and circumstances of couscous consumption in the communities concerned. Preparing couscous is a ceremonial process involving different operations and is associated with a set of exclusive tools. Accompanied by a variety of vegetables and meats depending on the region, season and occasion, the dish is replete with symbols, meanings and social and cultural dimensions linked to solidarity, conviviality and the sharing of meals."
1602,Algeria; Mauritania; Morocco; Tunisia,Group V(b),Africa; Arab States,2020,15.COM 8.b.14,Representative List,Multinational,"Knowledge, know-how and practices pertaining to the production and consumption of couscous","The knowledge, know-how and practices pertaining to the production and consumption of couscous encompass the methods of production, manufacturing conditions and tools, associated artefacts and circumstances of couscous consumption in the communities concerned. Preparing couscous is a ceremonial process involving different operations and is associated with a set of exclusive tools. Accompanied by a variety of vegetables and meats depending on the region, season and occasion, the dish is replete with symbols, meanings and social and cultural dimensions linked to solidarity, conviviality and the sharing of meals."
1602,Algeria; Mauritania; Morocco; Tunisia,Group V(b),Africa; Arab States,2020,15.COM 8.b.14,Representative List,Multinational,"Knowledge, know-how and practices pertaining to the production and consumption of couscous","The knowledge, know-how and practices pertaining to the production and consumption of couscous encompass the methods of production, manufacturing conditions and tools, associated artefacts and circumstances of couscous consumption in the communities concerned. Preparing couscous is a ceremonial process involving different operations and is associated with a set of exclusive tools. Accompanied by a variety of vegetables and meats depending on the region, season and occasion, the dish is replete with symbols, meanings and social and cultural dimensions linked to solidarity, conviviality and the sharing of meals."
1602,Algeria; Mauritania; Morocco; Tunisia,Group V(b),Africa; Arab States,2020,15.COM 8.b.14,Representative List,Multinational,"Knowledge, know-how and practices pertaining to the production and consumption of couscous","The knowledge, know-how and practices pertaining to the production and consumption of couscous encompass the methods of production, manufacturing conditions and tools, associated artefacts and circumstances of couscous consumption in the communities concerned. Preparing couscous is a ceremonial process involving different operations and is associated with a set of exclusive tools. Accompanied by a variety of vegetables and meats depending on the region, season and occasion, the dish is replete with symbols, meanings and social and cultural dimensions linked to solidarity, conviviality and the sharing of meals."
1718,Saudi Arabia; Algeria; Bahrain; Egypt; Iraq; Jordan; Kuwait; Lebanon; Mauritania; Morocco; Oman; Palestine; Sudan; Tunisia; United Arab Emirates; Yemen,Group V(b),Africa; Arab States,2021,16.COM 8.b.35,Representative List,Multinational,"Arabic calligraphy: knowledge, skills and practices","Arabic calligraphy is the artistic practice of handwriting Arabic script in a fluid manner to convey harmony, grace and beauty. Its fluidity offers infinite possibilities, even within a single word, since letters can be stretched and transformed to create different motifs. Arabic calligraphy is widespread in Arab and non-Arab countries and is practised by men and women of all ages. Originally intended to make writing clear and legible, it gradually became an Islamic Arab art for traditional and modern works. Skills are transmitted informally or through formal schools or apprenticeships."
1718,Saudi Arabia; Algeria; Bahrain; Egypt; Iraq; Jordan; Kuwait; Lebanon; Mauritania; Morocco; Oman; Palestine; Sudan; Tunisia; United Arab Emirates; Yemen,Group V(b),Arab States,2021,16.COM 8.b.35,Representative List,Multinational,"Arabic calligraphy: knowledge, skills and practices","Arabic calligraphy is the artistic practice of handwriting Arabic script in a fluid manner to convey harmony, grace and beauty. Its fluidity offers infinite possibilities, even within a single word, since letters can be stretched and transformed to create different motifs. Arabic calligraphy is widespread in Arab and non-Arab countries and is practised by men and women of all ages. Originally intended to make writing clear and legible, it gradually became an Islamic Arab art for traditional and modern works. Skills are transmitted informally or through formal schools or apprenticeships."
